xi,D_torus,D_infinite
0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e-03,1.0001032020047149e+00,1.0000999916674167e+00
2.0000000000000000e-03,1.0004127068883377e+00,1.0003998667146488e+00
3.0000000000000001e-03,1.0009282115384401e+00,1.0008993255462928e+00
4.0000000000000001e-03,1.0016492116717381e+00,1.0015978697341044e+00
5.0000000000000001e-03,1.0025750031911658e+00,1.0024948033582457e+00
6.0000000000000001e-03,1.0037046840725570e+00,1.0035892348752911e+00
7.0000000000000001e-03,1.0050371567734779e+00,1.0048800795033368e+00
8.0000000000000002e-03,1.0065711311534993e+00,1.0063660621119626e+00
8.9999999999999993e-03,1.0083051278882524e+00,1.0080457206022631e+00
1.0000000000000000e-02,1.0102374823619336e+00,1.0099174097597914e+00
1.0999999999999999e-02,1.0123663490178301e+00,1.0119793055609960e+00
1.2000000000000000e-02,1.0146897061452635e+00,1.0142294099116524e+00
1.2999999999999999e-02,1.0172053610795280e+00,1.0166655557938711e+00
1.4000000000000000e-02,1.0199109557891437e+00,1.0192854127965307e+00
1.4999999999999999e-02,1.0228039728237879e+00,1.0220864930024556e+00
1.6000000000000000e-02,1.0258817415943280e+00,1.0250661572043409e+00
1.7000000000000001e-02,1.0291414449558705e+00,1.0282216214202897e+00
1.7999999999999999e-02,1.0325801260632848e+00,1.0315499636789631e+00
1.9000000000000000e-02,1.0361946954683143e+00,1.0350481310436301e+00
2.0000000000000000e-02,1.0399819384268858e+00,1.0387129468439722e+00
2.1000000000000001e-02,1.0439385223847222e+00,1.0425411180842332e+00
2.1999999999999999e-02,1.0480610046097341e+00,1.0465292429962658e+00
2.3000000000000000e-02,1.0523458399394356e+00,1.0506738187062108e+00
2.4000000000000000e-02,1.0567893886122910e+00,1.0549712489838772e+00
2.5000000000000001e-02,1.0613879241522401e+00,1.0594178520444599e+00
2.5999999999999999e-02,1.0661376412765111e+00,1.0640098683729462e+00
2.7000000000000000e-02,1.0710346637976362e+00,1.0687434685424204e+00
2.8000000000000001e-02,1.0760750524916567e+00,1.0736147609985285e+00
2.9000000000000001e-02,1.0812548129056423e+00,1.0786197997835110e+00
2.9999999999999999e-02,1.0865699030790144e+00,1.0837545921744804e+00
3.1000000000000000e-02,1.0920162411543741e+00,1.0890151062120041e+00
3.2000000000000001e-02,1.0975897128552576e+00,1.0943972780965241e+00
3.3000000000000002e-02,1.1032861788095645e+00,1.0998970194316615e+00
3.4000000000000002e-02,1.1091014816991684e+00,1.1055102242950661e+00
3.5000000000000003e-02,1.1150314532177628e+00,1.1112327761190803e+00
3.5999999999999997e-02,1.1210719208207161e+00,1.1170605543651630e+00
3.6999999999999998e-02,1.1272187142523917e+00,1.1229894409776799e+00
3.7999999999999999e-02,1.1334676718380701e+00,1.1290153266043292e+00
3.9000000000000000e-02,1.1398146465292689e+00,1.1351341165721474e+00
4.0000000000000001e-02,1.1462555116928832e+00,1.1413417366096459e+00
4.1000000000000002e-02,1.1527861666362809e+00,1.1476341383072486e+00
4.2000000000000003e-02,1.1594025418618970e+00,1.1540073043097330e+00
4.2999999999999997e-02,1.1661006040465307e+00,1.1604572532358963e+00
4.3999999999999997e-02,1.1728763607419075e+00,1.1669800443220935e+00
4.4999999999999998e-02,1.1797258647945004e+00,1.1735717817876639e+00
4.5999999999999999e-02,1.1866452184839003e+00,1.1802286189215905e+00
4.7000000000000000e-02,1.1936305773802804e+00,1.1869467618909233e+00
4.8000000000000001e-02,1.2006781539226259e+00,1.1937224732726817e+00
4.9000000000000002e-02,1.2077842207205258e+00,1.2005520753119869e+00
5.0000000000000003e-02,1.2149451135832463e+00,1.2074319529101800e+00
5.0999999999999997e-02,1.2221572342807963e+00,1.2143585563475627e+00
