r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e-03,3.1575817768496367e-05,3.1824624117798985e-05
2.0000000000000000e-03,1.2622697706586719e-04,1.2722220382949888e-04
3.0000000000000001e-03,2.8372520444346847e-04,2.8596446980673620e-04
4.0000000000000001e-03,5.0369206257368303e-04,5.0767299165514529e-04
5.0000000000000001e-03,7.8560194259065161e-04,7.9182217034074820e-04
6.0000000000000001e-03,1.1287861838182099e-03,1.1377433580135995e-03
7.0000000000000001e-03,1.5324382536940143e-03,1.5446300380193875e-03
8.0000000000000002e-03,1.9956199047579948e-03,2.0115439819500818e-03
8.9999999999999993e-03,2.5172682118829600e-03,2.5374222869001210e-03
1.0000000000000000e-02,3.0962033817911192e-03,3.1210851849670174e-03
1.0999999999999999e-02,3.7311372185221234e-03,3.7612445086655216e-03
1.2000000000000000e-02,4.4206821229963627e-03,4.4565126904098275e-03
1.2999999999999999e-02,5.1633605021471239e-03,5.2054121715530647e-03
1.4000000000000000e-02,5.9576144631771051e-03,6.0063850965575375e-03
1.4999999999999999e-02,6.8018156711451266e-03,6.8578031705176633e-03
1.6000000000000000e-02,7.6942752530514144e-03,7.7579775632161396e-03
1.7000000000000001e-02,8.6332536385570428e-03,8.7051687498535049e-03
1.7999999999999999e-02,9.6169702360956646e-03,9.6975961872070738e-03
1.9000000000000000e-02,1.0643612853050096e-02,1.0733447733882264e-02
2.0000000000000000e-02,1.1711346779501287e-02,1.1810888734148798e-02
2.1000000000000001e-02,1.2818323466452642e-02,1.2928070696249122e-02
2.1999999999999999e-02,1.3962688741057810e-02,1.4083139507690240e-02
2.3000000000000000e-02,1.5142590512925045e-02,1.5274243141581361e-02
2.4000000000000000e-02,1.6356185936779941e-02,1.6499538819293037e-02
2.5000000000000001e-02,1.7601648007415552e-02,1.7757199605368243e-02
2.5999999999999999e-02,1.8877171572771804e-02,1.9045420420535558e-02
2.7000000000000000e-02,2.0180978760034315e-02,2.0362423467727070e-02
2.8000000000000001e-02,2.1511323817734934e-02,2.1706463074098726e-02
2.9000000000000001e-02,2.2866497383924201e-02,2.3075829959138289e-02
2.9999999999999999e-02,2.4244830196551086e-02,2.4468854945007598e-02
3.1000000000000000e-02,2.5644696267239933e-02,2.5883912130315542e-02
3.2000000000000001e-02,2.7064515543734766e-02,2.7319421552591625e-02
3.3000000000000002e-02,2.8502756089440622e-02,2.8773851367883938e-02
3.4000000000000002e-02,2.9957935810800473e-02,3.0245719578208610e-02
3.5000000000000003e-02,3.1428623764780797e-02,3.1733595339110854e-02
3.5999999999999997e-02,3.2913441079587456e-02,3.3236099880444667e-02
3.6999999999999998e-02,3.4411061521978481e-02,3.4751907073726773e-02
3.7999999999999999e-02,3.5920211744272186e-02,3.6279743679156394e-02
3.9000000000000000e-02,3.7439671243451753e-02,3.7818389304700363e-02
4.0000000000000001e-02,3.8968272063718522e-02,3.9366676108600056e-02
4.1000000000000002e-02,4.0504898272522079e-02,4.0923488275337462e-02
4.2000000000000003e-02,4.2048485238561764e-02,4.2487761293567072e-02
